model_id,phase,law_type_x,n_exponent,number_of_layers,enthesis_length_mm_x,poisson_mode,tendon_E_MPa,bone_E_MPa,tendon_nu,bone_nu,output_S11_available,output_VM_available,output_SENER_available,notes,Abs_Min_S11_MPa,AreaAbs_S11,Area_vs_Sharp,MaxAbs_d2Sdx2,MaxAbs_dSdx,MeanAbs_d2Sdx2,MeanAbs_dSdx,S11_Interface_MPa,S11_Range_MPa,enthesis_length_mm_y,law_type_y,max_S11,max_S11_from_odb,max_mises_x,max_mises_y,max_s11_x,max_s11_y,max_vonMises,max_vonMises_existing,min_S11,min_S11_from_odb,min_s11_x,min_s11_y,odb_file,source
M01,baseline,sharp,,0,6,constant,200,20000,0.45,0.3,yes,yes,check,Sharp interface between tendon and bone,,111.084298188004,0.0,4.71520188519419,0.591923147339318,0.0992558650313023,0.0641720288727616,-3.63412275,0.764247546661262,,,-3.36902260578649,-2.908314,,,,,7.7966742515563965,,-4.13327015244775,-6.4395847,,,M01_sharp_v1.odb,original_project
M02,baseline,linear,,8,6,constant,200,20000,0.45,0.3,yes,yes,check,Linear graded enthesis,,133.964176828784,23.1611555647035,1.28582358297439,0.503038130066372,0.0697332017422853,0.106383883236233,-3.80171415,1.33392612492665,,,-3.75545646958738,-3.754529,,,,,8.179767608642578,,-5.08938259451403,-7.791997,,,M02_linear_v1.odb,original_project
M03,baseline,exponential,,8,6,constant,200,20000,0.45,0.3,yes,yes,check,Exponential graded enthesis,,122.09627926776,11.0119810797559,0.872945791479338,0.273317826229207,0.0456463421505926,0.0908724643900631,-3.768556,1.12633340195251,,,-3.51160911367876,-3.5112336,,,,,6.801059246063232,,-4.63794251563126,-6.682755,,,M03_exponential_v1.odb,original_project
M04,baseline,power_law,0.5,8,6,constant,200,20000,0.45,0.3,yes,yes,check,Power-law graded enthesis n=0.5,,136.593838978695,25.5303932366199,1.42053484501622,0.461792389900118,0.0687211567622234,0.0964466772710645,-4.10845,1.19233929735401,,,-3.94688860828226,-3.9467657,,,,,9.28821849822998,,-5.13922790563627,-8.475406,,,M04_power_n05_v1.odb,original_project
M05,baseline,power_law,2.0,8,6,constant,200,20000,0.45,0.3,yes,yes,check,Power-law graded enthesis n=2,,126.353163671107,15.4984021102346,0.961300562569508,0.388581752946374,0.0563628280174549,0.10231332074637,-3.5922588,1.2833530676647,,,-3.52912359628821,-3.5283287,,,,,7.332578659057617,,-4.81247666395291,-7.194959,,,M05_power_n2_v1.odb,original_project
M10,refinement,power_law,2.0,8,6,constant,200,20000,0.45,0.3,yes,yes,check,Layer refinement study L08,,,,,,,,,,,,-3.528329,-3.5283287,,,,,7.332578659057617,7.332579,-7.194959,-7.194959,,,M10_PWR_n2_L08_v1.odb,original_project
M11,refinement,power_law,2.0,12,6,constant,200,20000,0.45,0.3,yes,yes,check,Layer refinement study L12,,,,,,,,,,,,-3.471567,-3.471567,,,,,7.311216354370117,7.311216,-7.308556,-7.3085556,,,M11_PWR_n2_L12_v1.odb,original_project
M12,refinement,power_law,2.0,16,6,constant,200,20000,0.45,0.3,yes,yes,check,Layer refinement study L16,,,,,,,,,,,,-3.478584,-3.4785838,,,,,7.198911190032959,7.198911,-7.199393,-7.199393,,,M12_PWR_n2_L16_v1.odb,original_project
M13,n_sensitivity,power_law,1.5,16,6,constant,200,20000,0.45,0.3,yes,yes,check,Power-law exponent sensitivity n=1.5,,,,,,,,,,,,-3.489748,-3.489748,13.6875,5.85,14.8125,2.85,8.152043342590332,8.152043,-8.127826,-8.127826,13.6875,5.85,M13_PWR_n1p5_L16_v1.odb,original_project
M14,n_sensitivity,power_law,2.0,16,6,constant,200,20000,0.45,0.3,yes,yes,check,Power-law exponent sensitivity n=2,,,,,,,,,,,,-3.478584,-3.4785838,14.4375,0.15,15.5625,2.85,7.198911190032959,7.198911,-7.199393,-7.199393,14.4375,0.15,M14_PWR_n2_L16_v1.odb,original_project
