Model,ElementLabel,X_centroid_mm,Y_centroid_mm,S11
M17_PWR_n3_L16_nuCost_v1,790,0.5,2.850000023841858,-4.406438827514648
M17_PWR_n3_L16_nuCost_v1,791,0.5,3.149999976158142,-4.406438827514648
M17_PWR_n3_L16_nuCost_v1,770,1.5,2.850000023841858,-4.406296253204346
M17_PWR_n3_L16_nuCost_v1,771,1.5,3.149999976158142,-4.406296253204346
M17_PWR_n3_L16_nuCost_v1,750,2.5,2.850000023841858,-4.406052112579346
M17_PWR_n3_L16_nuCost_v1,751,2.5,3.149999976158142,-4.406052112579346
M17_PWR_n3_L16_nuCost_v1,730,3.5,2.850000023841858,-4.4060845375061035
M17_PWR_n3_L16_nuCost_v1,731,3.5,3.149999976158142,-4.4060845375061035
M17_PWR_n3_L16_nuCost_v1,710,4.5,2.850000023841858,-4.407052993774414
M17_PWR_n3_L16_nuCost_v1,711,4.5,3.149999976158142,-4.407052993774414
M17_PWR_n3_L16_nuCost_v1,690,5.5,2.850000023841858,-4.41085958480835
M17_PWR_n3_L16_nuCost_v1,691,5.5,3.149999976158142,-4.41085958480835
M17_PWR_n3_L16_nuCost_v1,670,6.5,2.850000023841858,-4.4204607009887695
M17_PWR_n3_L16_nuCost_v1,671,6.5,3.149999976158142,-4.4204607009887695
M17_PWR_n3_L16_nuCost_v1,650,7.5,2.850000023841858,-4.441176891326904
M17_PWR_n3_L16_nuCost_v1,651,7.5,3.149999976158142,-4.441176891326904
M17_PWR_n3_L16_nuCost_v1,630,8.5,2.850000023841858,-4.477170467376709
M17_PWR_n3_L16_nuCost_v1,631,8.5,3.149999976158142,-4.477170467376709
M17_PWR_n3_L16_nuCost_v1,610,9.5,2.850000023841858,-4.522204399108887
M17_PWR_n3_L16_nuCost_v1,611,9.5,3.149999976158142,-4.522204399108887
M17_PWR_n3_L16_nuCost_v1,590,10.5,2.850000023841858,-4.546055793762207
M17_PWR_n3_L16_nuCost_v1,591,10.5,3.149999976158142,-4.546055793762207
M17_PWR_n3_L16_nuCost_v1,570,11.5,2.850000023841858,-4.502108573913574
M17_PWR_n3_L16_nuCost_v1,571,11.5,3.149999976158142,-4.502108573913574
M17_PWR_n3_L16_nuCost_v1,10,12.1875,2.850000023841858,-4.424849510192871
M17_PWR_n3_L16_nuCost_v1,11,12.1875,3.149999976158142,-4.424849510192871
M17_PWR_n3_L16_nuCost_v1,30,12.5625,2.850000023841858,-4.353414535522461
M17_PWR_n3_L16_nuCost_v1,31,12.5625,3.149999976158142,-4.353414535522461
M17_PWR_n3_L16_nuCost_v1,50,12.9375,3.149999976158142,-4.266086101531982
M17_PWR_n3_L16_nuCost_v1,51,12.9375,2.850000023841858,-4.266086101531982
M17_PWR_n3_L16_nuCost_v1,70,13.3125,2.850000023841858,-4.16424036026001
M17_PWR_n3_L16_nuCost_v1,71,13.3125,3.149999976158142,-4.16424036026001
M17_PWR_n3_L16_nuCost_v1,90,13.6875,3.149999976158142,-4.0476884841918945
M17_PWR_n3_L16_nuCost_v1,91,13.6875,2.850000023841858,-4.0476884841918945
M17_PWR_n3_L16_nuCost_v1,110,14.0625,2.850000023841858,-3.9192512035369873
