Model,ElementLabel,X_centroid_mm,Y_centroid_mm,SENER
M17_PWR_n3_L16_nuCost_v1,790,0.5,2.850000023841858,0.04853804409503937
M17_PWR_n3_L16_nuCost_v1,791,0.5,3.149999976158142,0.04853804409503937
M17_PWR_n3_L16_nuCost_v1,770,1.5,2.850000023841858,0.04853562265634537
M17_PWR_n3_L16_nuCost_v1,771,1.5,3.149999976158142,0.04853562265634537
M17_PWR_n3_L16_nuCost_v1,750,2.5,2.850000023841858,0.048533760011196136
M17_PWR_n3_L16_nuCost_v1,751,2.5,3.149999976158142,0.048533760011196136
M17_PWR_n3_L16_nuCost_v1,730,3.5,2.850000023841858,0.04854631423950195
M17_PWR_n3_L16_nuCost_v1,731,3.5,3.149999976158142,0.04854631423950195
M17_PWR_n3_L16_nuCost_v1,710,4.5,2.850000023841858,0.04859757050871849
M17_PWR_n3_L16_nuCost_v1,711,4.5,3.149999976158142,0.04859757050871849
M17_PWR_n3_L16_nuCost_v1,690,5.5,2.850000023841858,0.04874472692608833
M17_PWR_n3_L16_nuCost_v1,691,5.5,3.149999976158142,0.04874472692608833
M17_PWR_n3_L16_nuCost_v1,670,6.5,2.850000023841858,0.049067042768001556
M17_PWR_n3_L16_nuCost_v1,671,6.5,3.149999976158142,0.049067042768001556
M17_PWR_n3_L16_nuCost_v1,650,7.5,2.850000023841858,0.049679625779390335
M17_PWR_n3_L16_nuCost_v1,651,7.5,3.149999976158142,0.049679625779390335
M17_PWR_n3_L16_nuCost_v1,630,8.5,2.850000023841858,0.05058306083083153
M17_PWR_n3_L16_nuCost_v1,631,8.5,3.149999976158142,0.05058306083083153
M17_PWR_n3_L16_nuCost_v1,610,9.5,2.850000023841858,0.051296524703502655
M17_PWR_n3_L16_nuCost_v1,611,9.5,3.149999976158142,0.051296524703502655
M17_PWR_n3_L16_nuCost_v1,590,10.5,2.850000023841858,0.05048802122473717
M17_PWR_n3_L16_nuCost_v1,591,10.5,3.149999976158142,0.05048802122473717
M17_PWR_n3_L16_nuCost_v1,570,11.5,2.850000023841858,0.04674303159117699
M17_PWR_n3_L16_nuCost_v1,571,11.5,3.149999976158142,0.04674303159117699
M17_PWR_n3_L16_nuCost_v1,10,12.1875,2.850000023841858,0.046700794249773026
M17_PWR_n3_L16_nuCost_v1,11,12.1875,3.149999976158142,0.046700794249773026
M17_PWR_n3_L16_nuCost_v1,30,12.5625,2.850000023841858,0.041158147156238556
M17_PWR_n3_L16_nuCost_v1,31,12.5625,3.149999976158142,0.041158147156238556
M17_PWR_n3_L16_nuCost_v1,50,12.9375,3.149999976158142,0.030991602689027786
M17_PWR_n3_L16_nuCost_v1,51,12.9375,2.850000023841858,0.030991602689027786
