law_type,enthesis_length_mm,n_exponent,number_of_layers,predicted_max_vonMises
linear,4.0,0,16,8.121860437393188
linear,4.081632653061225,0,16,8.121860437393188
linear,4.163265306122449,0,16,8.121860437393188
linear,4.244897959183674,0,16,8.121860437393188
linear,4.326530612244898,0,16,8.121860437393188
linear,4.408163265306122,0,16,8.121860437393188
linear,4.489795918367347,0,16,8.121860437393188
linear,4.571428571428571,0,16,8.121860437393188
linear,4.653061224489796,0,16,8.121860437393188
linear,4.73469387755102,0,16,8.121860437393188
linear,4.816326530612245,0,16,8.121860437393188
linear,4.8979591836734695,0,16,8.121860437393188
linear,4.979591836734694,0,16,8.121860437393188
linear,5.061224489795919,0,16,8.10575440926022
linear,5.142857142857142,0,16,8.10575440926022
linear,5.224489795918367,0,16,8.10575440926022
linear,5.3061224489795915,0,16,8.10575440926022
linear,5.387755102040816,0,16,8.10575440926022
linear,5.469387755102041,0,16,8.10575440926022
linear,5.551020408163265,0,16,8.10575440926022
linear,5.63265306122449,0,16,8.10575440926022
linear,5.714285714285714,0,16,8.10575440926022
linear,5.795918367346939,0,16,8.10575440926022
linear,5.877551020408163,0,16,8.10575440926022
linear,5.959183673469388,0,16,8.10575440926022
linear,6.040816326530612,0,16,8.138791928715175
linear,6.122448979591836,0,16,8.138791928715175
linear,6.204081632653061,0,16,8.138791928715175
linear,6.285714285714286,0,16,8.138791928715175
linear,6.36734693877551,0,16,8.138791928715175
linear,6.448979591836734,0,16,8.138791928715175
linear,6.530612244897959,0,16,8.138791928715175
linear,6.612244897959183,0,16,8.138791928715175
linear,6.6938775510204085,0,16,8.138791928715175
linear,6.775510204081632,0,16,8.138791928715175
linear,6.857142857142857,0,16,8.138791928715175
linear,6.938775510204081,0,16,8.138791928715175
linear,7.020408163265306,0,16,7.997810066541036
linear,7.1020408163265305,0,16,7.997810066541036
linear,7.183673469387754,0,16,7.997810066541036
linear,7.26530612244898,0,16,7.997810066541036
linear,7.346938775510203,0,16,7.997810066541036
linear,7.428571428571429,0,16,7.997810066541036
linear,7.5102040816326525,0,16,7.997810066541036
linear,7.591836734693877,0,16,7.997810066541036
linear,7.673469387755102,0,16,7.997810066541036
linear,7.755102040816326,0,16,7.997810066541036
linear,7.836734693877551,0,16,7.997810066541036
linear,7.918367346938775,0,16,7.997810066541036
linear,8.0,0,16,7.997810066541036
exponential,4.0,0,16,7.372342178026835
exponential,4.081632653061225,0,16,7.372342178026835
exponential,4.163265306122449,0,16,7.372342178026835
exponential,4.244897959183674,0,16,7.372342178026835
exponential,4.326530612244898,0,16,7.372342178026835
exponential,4.408163265306122,0,16,7.372342178026835
exponential,4.489795918367347,0,16,7.372342178026835
exponential,4.571428571428571,0,16,7.372342178026835
exponential,4.653061224489796,0,16,7.372342178026835
exponential,4.73469387755102,0,16,7.372342178026835
exponential,4.816326530612245,0,16,7.372342178026835
exponential,4.8979591836734695,0,16,7.372342178026835
exponential,4.979591836734694,0,16,7.372342178026835
exponential,5.061224489795919,0,16,7.070850405057272
exponential,5.142857142857142,0,16,7.070850405057272
exponential,5.224489795918367,0,16,7.070850405057272
exponential,5.3061224489795915,0,16,7.070850405057272
