law_type_clean,enthesis_length_mm_clean,n_exponent,number_of_layers,predicted_max_vonMises
exponential,8.0,0.0,16,6.562057841618856
exponential,7.75,0.0,16,6.562057841618856
exponential,7.25,0.0,16,6.562057841618856
exponential,7.5,0.0,16,6.562057841618856
power_law,7.25,5.0,16,6.624225644085143
power_law,7.75,5.0,16,6.624225644085143
power_law,8.0,5.0,16,6.624225644085143
power_law,7.5,5.0,16,6.624225644085143
exponential,7.25,0.0,12,6.643563521703085
exponential,8.0,0.0,12,6.643563521703085
exponential,7.75,0.0,12,6.643563521703085
exponential,7.5,0.0,12,6.643563521703085
power_law,7.25,3.0,16,6.656840980887415
power_law,8.0,3.0,16,6.656840980887415
power_law,7.75,3.0,16,6.656840980887415
power_law,7.5,3.0,16,6.656840980887415
power_law,7.75,5.0,12,6.684746084001329
power_law,7.5,5.0,12,6.684746084001329
power_law,7.25,5.0,12,6.684746084001329
power_law,8.0,5.0,12,6.684746084001329
exponential,7.75,0.0,8,6.704700223604838
exponential,7.5,0.0,8,6.704700223604838
exponential,7.25,0.0,8,6.704700223604838
exponential,8.0,0.0,8,6.704700223604838
power_law,7.75,3.0,12,6.722052046987748
power_law,7.25,3.0,12,6.722052046987748
power_law,7.5,3.0,12,6.722052046987748
power_law,8.0,3.0,12,6.722052046987748
power_law,7.5,5.0,8,6.738997144487169
power_law,7.75,5.0,8,6.738997144487169
power_law,8.0,5.0,8,6.738997144487169
power_law,7.25,5.0,8,6.738997144487169
power_law,7.75,3.0,8,6.772461912896899
power_law,8.0,3.0,8,6.772461912896899
power_law,7.25,3.0,8,6.772461912896899
power_law,7.5,3.0,8,6.772461912896899
power_law,5.75,5.0,16,6.896420913656554
power_law,6.5,5.0,16,6.896420913656554
power_law,7.0,5.0,16,6.896420913656554
power_law,6.0,5.0,16,6.896420913656554
power_law,5.25,5.0,16,6.896420913656554
power_law,5.5,5.0,16,6.896420913656554
power_law,6.25,5.0,16,6.896420913656554
power_law,6.75,5.0,16,6.896420913656554
power_law,5.5,5.0,12,6.957372196793558
power_law,6.5,5.0,12,6.957372196793558
power_law,6.75,5.0,12,6.957372196793558
power_law,7.0,5.0,12,6.957372196793558
power_law,6.25,5.0,12,6.957372196793558
power_law,5.25,5.0,12,6.957372196793558
power_law,6.0,5.0,12,6.957372196793558
power_law,5.75,5.0,12,6.957372196793558
power_law,7.75,2.0,16,6.992674105962117
power_law,7.5,2.0,16,6.992674105962117
power_law,7.25,2.0,16,6.992674105962117
power_law,8.0,2.0,16,6.992674105962117
exponential,6.5,0.0,12,6.997289090156555
exponential,7.0,0.0,12,6.997289090156555
exponential,6.75,0.0,12,6.997289090156555
exponential,6.25,0.0,12,6.997289090156555
power_law,7.0,3.0,16,6.99756551305453
power_law,5.25,3.0,16,6.99756551305453
power_law,5.75,3.0,16,6.99756551305453
power_law,6.25,3.0,16,6.99756551305453
power_law,5.5,3.0,16,6.99756551305453
power_law,6.75,3.0,16,6.99756551305453
power_law,6.5,3.0,16,6.99756551305453
power_law,6.0,3.0,16,6.99756551305453
power_law,7.0,5.0,8,7.001203621506693
power_law,6.5,5.0,8,7.001203621506693
power_law,6.75,5.0,8,7.001203621506693
power_law,6.25,5.0,8,7.001203621506693
power_law,6.0,5.0,8,7.001203621506693
power_law,5.5,5.0,8,7.001203621506693
power_law,5.75,5.0,8,7.001203621506693
power_law,5.25,5.0,8,7.001203621506693
exponential,7.0,0.0,16,7.0122886603673305
exponential,6.75,0.0,16,7.0122886603673305
exponential,6.25,0.0,16,7.0122886603673305
exponential,6.5,0.0,16,7.0122886603673305
exponential,6.5,0.0,8,7.0212635199228925
exponential,6.25,0.0,8,7.0212635199228925
exponential,6.75,0.0,8,7.0212635199228925
exponential,7.0,0.0,8,7.0212635199228925
exponential,5.5,0.0,12,7.050970689455668
exponential,5.25,0.0,12,7.050970689455668
exponential,6.0,0.0,12,7.050970689455668
exponential,5.75,0.0,12,7.050970689455668
power_law,5.75,3.0,12,7.062623692419796
power_law,5.5,3.0,12,7.062623692419796
power_law,6.0,3.0,12,7.062623692419796
power_law,5.25,3.0,12,7.062623692419796
power_law,7.0,3.0,12,7.062623692419796
power_law,6.25,3.0,12,7.062623692419796
power_law,6.5,3.0,12,7.062623692419796
power_law,6.75,3.0,12,7.062623692419796
exponential,5.25,0.0,16,7.070850405057272
exponential,6.0,0.0,16,7.070850405057272
exponential,5.75,0.0,16,7.070850405057272
exponential,5.5,0.0,16,7.070850405057272
exponential,5.5,0.0,8,7.074945119222005
exponential,5.75,0.0,8,7.074945119222005
exponential,6.0,0.0,8,7.074945119222005
exponential,5.25,0.0,8,7.074945119222005
power_law,8.0,2.0,12,7.090154779752096
power_law,7.5,2.0,12,7.090154779752096
power_law,7.75,2.0,12,7.090154779752096
power_law,7.25,2.0,12,7.090154779752096
power_law,6.0,3.0,8,7.09877705593904
power_law,6.25,3.0,8,7.09877705593904
power_law,6.5,3.0,8,7.09877705593904
power_law,7.0,3.0,8,7.09877705593904
power_law,6.75,3.0,8,7.09877705593904
power_law,5.25,3.0,8,7.09877705593904
power_law,5.5,3.0,8,7.09877705593904
power_law,5.75,3.0,8,7.09877705593904
power_law,7.5,2.0,8,7.128580096562703
power_law,8.0,2.0,8,7.128580096562703
power_law,7.75,2.0,8,7.128580096562703
power_law,7.25,2.0,8,7.128580096562703
power_law,7.0,2.0,16,7.205804257816738
power_law,6.75,2.0,16,7.205804257816738
power_law,5.5,2.0,16,7.205804257816738
power_law,6.0,2.0,16,7.205804257816738
power_law,5.75,2.0,16,7.205804257816738
power_law,5.25,2.0,16,7.205804257816738
power_law,6.25,2.0,16,7.205804257816738
power_law,6.5,2.0,16,7.205804257816738
exponential,4.25,0.0,12,7.303000232378642
exponential,4.0,0.0,12,7.303000232378642
exponential,4.75,0.0,12,7.303000232378642
exponential,4.5,0.0,12,7.303000232378642
exponential,5.0,0.0,12,7.303000232378642
exponential,4.0,0.0,8,7.317768336931865
exponential,4.5,0.0,8,7.317768336931865
exponential,4.25,0.0,8,7.317768336931865
exponential,4.75,0.0,8,7.317768336931865
exponential,5.0,0.0,8,7.317768336931865
power_law,5.75,2.0,12,7.3273646974563595
power_law,5.25,2.0,12,7.3273646974563595
power_law,6.75,2.0,12,7.3273646974563595
power_law,6.25,2.0,12,7.3273646974563595
power_law,7.0,2.0,12,7.3273646974563595
power_law,6.5,2.0,12,7.3273646974563595
