law_type_clean,enthesis_length_mm_clean,n_exponent,number_of_layers,predicted_max_vonMises
exponential,8.0,0.0,16,6.562057841618856
exponential,7.75,0.0,16,6.562057841618856
exponential,7.25,0.0,16,6.562057841618856
exponential,7.5,0.0,16,6.562057841618856
power_law,7.25,5.0,16,6.624225644085143
power_law,7.75,5.0,16,6.624225644085143
power_law,8.0,5.0,16,6.624225644085143
power_law,7.5,5.0,16,6.624225644085143
exponential,7.25,0.0,12,6.643563521703085
exponential,8.0,0.0,12,6.643563521703085
exponential,7.75,0.0,12,6.643563521703085
exponential,7.5,0.0,12,6.643563521703085
power_law,7.25,3.0,16,6.656840980887415
power_law,8.0,3.0,16,6.656840980887415
power_law,7.75,3.0,16,6.656840980887415
power_law,7.5,3.0,16,6.656840980887415
power_law,7.75,5.0,12,6.684746084001329
power_law,7.5,5.0,12,6.684746084001329
power_law,7.25,5.0,12,6.684746084001329
power_law,8.0,5.0,12,6.684746084001329
